Quarter,Title,Course,Section,Program,Faculty,Schedule,Capacity,Building,Location
Spring 2025,Operations Management: Business Process Fundamentals,40000,3,Full-Time MBA,Ozan Candogan,"Thursday, 8:30 AM - 11:30 AM",43/65,Harper Center,C03
Spring 2025,Operations Management: Business Process Fundamentals,40000,4,Full-Time MBA,Ozan Candogan,"Thursday, 1:30 PM - 4:30 PM",44/65,Harper Center,C03
Summer 2025,Building the New Venture,34103,81,Evening MBA,Ale Breuer,"Wednesday, 6:00 PM - 9:00 PM",0/45,Gleacher Center,304
Summer 2025,Leadership Practicum,31402,81,Evening MBA,Chris Collins,"Tuesday, 6:00 PM - 9:00 PM",0/40,Gleacher Center,422
Winter 2025,Artificial Intelligence,32200,1,Full-Time MBA,Dacheng Xiu,"Monday, 8:30 AM - 11:30 AM",59/65,Harper Center,C08
Summer 2025,Understanding the Health Policy Forces Driving the U.S. Health Care System,33352,81,Evening MBA,Catina Latham,"Tuesday, 6:00 PM - 9:00 PM",0/65,Gleacher Center,408
Spring 2025,Data Visualization for Decision-Making,32130,81,Evening MBA,Lara Kattan,"Monday, 6:00 PM - 9:00 PM",45/45,Gleacher Center,208
Winter 2025,Entrepreneurial Finance and Private Equity,34101,81,Evening MBA,Eric Zwick,"Tuesday, 6:00 PM - 9:00 PM",27/65,Gleacher Center,208
Spring 2025,Housing and Social Impact Lab,42712,1,Full-Time MBA,Susana Vasquez,"Thursday, 8:30 AM - 11:30 AM",12/20,Harper Center,C09
Spring 2025,Entrepreneurial Finance and Private Equity,34101,1,Full-Time MBA,Scott Meadow,"Wednesday, 8:30 AM - 11:30 AM",74/75,Harper Center,C25
Spring 2025,Corporation Finance,35200,3,Full-Time MBA,Pascal Noel,"Thursday, 8:30 AM - 11:30 AM",45/65,Harper Center,C04
Spring 2025,Data Analysis with Python and SQL,32120,1,Full-Time MBA,Lara Kattan,"Tuesday, 8:30 AM - 11:30 AM",35/35,Harper Center,C05
Spring 2025,Financial Statement Analysis,30130,2,Full-Time MBA,John Hand,"Thursday, 8:30 AM - 11:30 AM",65/65,Harper Center,C08
Summer 2025,Investments,35000,81,Evening MBA,Staff Staff,6:00 PM - 9:00 PM,0/65,,
Spring 2025,Perspectives on Capitalism,33250,81,Evening MBA,Robert Gertner,"Wednesday, 5:00 PM - 6:30 PM",51/60,,
Spring 2025,Pricing Strategies,37202,81,Evening MBA,Jean-Pierre Dubé,"Wednesday, 6:00 PM - 9:00 PM",64/65,Gleacher Center,204
Spring 2025,Perspectives on Capitalism Seminar,33251,10,Full-Time MBA,Susana Vasquez,"Tuesday, 3:30 PM - 5:00 PM",12/12,Harper Center,223
Spring 2025,Advanced Industrial Organization III,33923,50,PhD,Staff Staff,"Monday, 1:30 PM - 2:50 PM Wednesday, 1:30 PM - 2:50 PM",2/15,,
Spring 2025,Cases in Financial Management,35201,2,Master in Finance,Gregor Andrade,"Friday, 1:30 PM - 4:30 PM",45/65,Harper Center,C02
Spring 2025,Entrepreneurial Finance and Private Equity,34101,2,Master in Finance,Jim Fasano,"Tuesday, 3:30 PM - 6:30 PM",26/65,Harper Center,C03
