Quarter,Title,Course,Section,Program,Faculty,Schedule,Capacity,Building,Location
Autumn 2024,Outperform & Outlast:  Operating and Investing in Closely Held Businesses,34208,1,Full-Time MBA,Jamie Shah,"Monday, 8:30 AM - 9:50 AM Wednesday, 8:30 AM - 9:50 AM",35/65,Harper Center,C08
Autumn 2024,Entrepreneurship in Healthcare and Life Sciences,34210,1,Full-Time MBA,Brian Coe,"Monday, 5:00 PM - 8:00 PM",46/65,Harper Center,C09
Spring 2025,Art + Business Lab,42726,1,Full-Time MBA,Mary Ittelson,"Thursday, 1:30 PM - 4:30 PM",24/24,Harper Center,219
Spring 2025,Institutional Private Capital Investing,34219,1,Full-Time MBA,Stefan Hepp,"Thursday, 1:30 PM - 4:30 PM",47/65,Harper Center,C07
Spring 2025,Institutional Private Capital Investing,34219,85,Weekend MBA,Stefan Hepp,"Saturday, 1:30 PM - 4:30 PM",36/65,Gleacher Center,204
Autumn 2024,Foundations of Accounting Research,30900,50,PhD,Anna Costello and Michael Minnis and Douglas Skinner,"Tuesday, 8:30 AM - 11:30 AM",4/20,Harper Center,3A
Autumn 2024,Research Seminar in Accounting,30930,50,PhD,Delphine Samuels and Christopher Stewart and Rimmy Tomy,"Thursday, 10:00 AM - 11:30 AM",6/20,Harper Center,3A
Winter 2025,Research Seminar in Accounting,30931,50,PhD,Delphine Samuels and Christopher Stewart and Rimmy Tomy,"Thursday, 10:00 AM - 11:30 AM",5/20,Harper Center,3A
Spring 2025,Research Seminar in Accounting,30932,50,PhD,Delphine Samuels and Christopher Stewart and Rimmy Tomy,"Thursday, 10:00 AM - 11:30 AM",3/20,Harper Center,3A
Winter 2025,Consumer Finance,35207,1,Full-Time MBA,Scott Nelson,"Tuesday, 8:30 AM - 11:30 AM",57/65,Harper Center,C10
Winter 2025,Consumer Finance,35207,2,Full-Time MBA,Scott Nelson,"Thursday, 8:30 AM - 11:30 AM",46/65,Harper Center,C10
Autumn 2024,Macroeconomics and the Business Environment,33050,1,Full-Time MBA,Erik Hurst,"Tuesday, 8:30 AM - 11:30 AM",59/65,Harper Center,C10
Autumn 2024,Macroeconomics and the Business Environment,33050,2,Full-Time MBA,Erik Hurst,"Tuesday, 1:30 PM - 4:30 PM",61/65,Harper Center,C10
Winter 2025,Macroeconomics and the Business Environment,33050,1,Full-Time MBA,Joseph Vavra,"Monday, 8:30 AM - 11:30 AM",35/65,Harper Center,C04
Winter 2025,Macroeconomics and the Business Environment,33050,85,Weekend MBA,Jason Faberman,"Saturday, 1:30 PM - 4:30 PM",12/65,Gleacher Center,406
Spring 2025,Macroeconomics and the Business Environment,33050,1,Full-Time MBA,Veronica Guerrieri,"Thursday, 8:30 AM - 11:30 AM",19/65,Harper Center,C05
Spring 2025,Macroeconomics and the Business Environment,33050,2,Full-Time MBA,Veronica Guerrieri,"Thursday, 1:30 PM - 4:30 PM",35/65,Harper Center,C05
Spring 2025,Deal Structuring and Financial Reporting Implications,30122,1,Full-Time MBA,Haresh Sapra,"Wednesday, 8:30 AM - 11:30 AM",50/65,Harper Center,C04
Autumn 2024,The Economics of Companies,33230,1,Full-Time MBA,Chad Syverson,"Tuesday, 8:30 AM - 11:30 AM",21/65,Harper Center,C01
Autumn 2024,The Economics of Companies,33230,81,Evening MBA,Chad Syverson,"Tuesday, 6:00 PM - 9:00 PM",8/65,Gleacher Center,208
Winter 2025,"Data, Learning, and Algorithms",41918,50,PhD,Tengyuan Liang,"Monday, 1:30 PM - 4:30 PM",6/22,Harper Center,3SW
Spring 2025,Asset Pricing III,34905,50,PhD,George Constantinides and Stefan Nagel,"Monday, 8:30 AM - 11:30 AM",3/20,Harper Center,3A
Spring 2025,"Online Learning, Operations, and Electronic Markets",36922,50,PhD,Rad Niazadeh,"Friday, 9:00 AM - 12:00 PM",2/35,Harper Center,3SW
Spring 2025,Advanced New Venture Strategy Workshop,34220,81,Evening MBA,James Schrager,"Thursday, 6:00 PM - 9:00 PM",34/40,,
Spring 2025,Global Social Entrepreneurship – Lab,42711,1,Full-Time MBA,Andrew Leon Hanna,"Monday, 1:30 PM - 4:30 PM",35/36,Harper Center,C06
Spring 2025,Managing the Workplace,33032,85,Weekend MBA,Canice Prendergast,"Saturday, 9:00 AM - 12:00 PM",27/65,Gleacher Center,306
Spring 2025,New Products and Services,37200,1,Full-Time MBA,Craig Terrill,"Wednesday, 8:30 AM - 11:30 AM",54/55,Harper Center,C01
Autumn 2024,Corporate Governance and Activism - Board and Director Roles in Critical Decisions,35222,1,Full-Time MBA,Carlin Adrianopoli and Stephen Hessler and Robert Schriesheim,"Thursday, 1:30 PM - 4:30 PM",65/65,Harper Center,C10
Winter 2025,Consumer Behavior,37101,85,Weekend MBA,Daniel Bartels,"Saturday, 9:00 AM - 12:00 PM",20/65,Gleacher Center,306
Spring 2025,Consumer Behavior,37101,81,Evening MBA,Kristin Donnelly,"Thursday, 6:00 PM - 9:00 PM",27/65,Gleacher Center,404
Autumn 2024,Data Science for Marketing Decision Making,37105,81,Evening MBA,Giovanni Compiani,"Thursday, 6:00 PM - 9:00 PM",41/65,Gleacher Center,308
Winter 2025,Quantitative Portfolio Management,35126,1,Full-Time MBA,Ralph Koijen,"Tuesday, 8:30 AM - 11:30 AM",69/70,Harper Center,C05
Winter 2025,Quantitative Portfolio Management,35126,81,Evening MBA,Ralph Koijen,"Tuesday, 6:00 PM - 9:00 PM",68/70,Gleacher Center,308
Winter 2025,Health Economics Literature Seminar,33920,50,PhD,Joshua Gottlieb,"Wednesday, 10:10 AM - 11:30 AM",9/20,Harper Center,3A
Winter 2025,Financial Statement Analysis,30130,85,Weekend MBA,Abbie Smith,"Saturday, 1:30 PM - 4:30 PM",55/70,Gleacher Center,306
Autumn 2024,Blockchains and Decentralized Finance,35136,1,Full-Time MBA,Anthony Zhang,"Wednesday, 1:30 PM - 4:30 PM",38/65,Harper Center,C05
Autumn 2024,Taxes and Business Strategy,30118,85,Weekend MBA,Merle Erickson,"Saturday, 9:00 AM - 12:00 PM",42/65,Gleacher Center,304
Winter 2025,Business with Purpose,37212,1,Full-Time MBA,Abigail Sussman,"Wednesday, 1:30 PM - 4:30 PM",61/65,Harper Center,C10
Winter 2025,Business with Purpose,37212,81,Evening MBA,Abigail Sussman,"Wednesday, 6:00 PM - 9:00 PM",35/65,Gleacher Center,404
Winter 2025,The Family Office,35145,1,Full-Time MBA,John Heaton,"Tuesday, 3:00 PM - 6:00 PM",55/65,Harper Center,C03
Winter 2025,Financial Instruments,35100,1,Full-Time MBA,John Heaton,"Monday, 8:30 AM - 11:30 AM",11/65,Harper Center,C09
Winter 2025,Financial Instruments,35100,2,Full-Time MBA,John Heaton,"Monday, 1:30 PM - 4:30 PM",29/65,Harper Center,C09
Spring 2025,Fixed Income Asset Pricing,35130,85,Weekend MBA,John Heaton,"Saturday, 1:30 PM - 4:30 PM",32/65,Gleacher Center,206
